kernel	vgpr	sgpr	lds_bytes	scratch_bytes	max_wg
29mul_mat_vec_q5_K_breit_gfx906ILi6ELi16ELi4	58	34	9216	0	256
29mul_mat_vec_q5_K_breit_gfx906ILi6ELi16ELi8	82	40	18432	0	256
29mul_mat_vec_q5_K_breit_gfx906ILi7ELi16ELi4	57	34	10752	0	256
29mul_mat_vec_q5_K_breit_gfx906ILi7ELi16ELi8	83	40	21504	0	256
29mul_mat_vec_q5_K_breit_gfx906ILi8ELi16ELi4	63	34	12288	0	256
29mul_mat_vec_q5_K_breit_gfx906ILi8ELi16ELi8	84	40	24576	0	256
29mul_mat_vec_q6_K_breit_gfx906ILi2ELi16ELi4	36	32	2304	0	256
29mul_mat_vec_q6_K_breit_gfx906ILi2ELi16ELi8	36	32	4608	0	256
29mul_mat_vec_q4_1_breit_gfx906ILi2ELi16ELi32	31	32	3072	0	256
29mul_mat_vec_q4_1_breit_gfx906ILi2ELi16ELi64	48	36	6144	0	256
29mul_mat_vec_q6_K_breit_gfx906ILi3ELi16ELi4	34	32	3456	0	256
29mul_mat_vec_q6_K_breit_gfx906ILi3ELi16ELi8	34	32	6912	0	256
29mul_mat_vec_q4_1_breit_gfx906ILi3ELi16ELi32	36	32	4608	0	256
29mul_mat_vec_q4_1_breit_gfx906ILi3ELi16ELi64	44	36	9216	0	256
29mul_mat_vec_q6_K_breit_gfx906ILi4ELi16ELi4	35	32	4608	0	256
29mul_mat_vec_q6_K_breit_gfx906ILi4ELi16ELi8	35	32	9216	0	256
29mul_mat_vec_q4_1_breit_gfx906ILi4ELi16ELi32	37	32	6144	0	256
29mul_mat_vec_q4_1_breit_gfx906ILi4ELi16ELi64	49	36	12288	0	256
29mul_mat_vec_q6_K_breit_gfx906ILi5ELi16ELi4	59	32	5760	0	256
29mul_mat_vec_q6_K_breit_gfx906ILi5ELi16ELi8	43	36	11520	0	256
29mul_mat_vec_q4_1_breit_gfx906ILi5ELi16ELi32	36	32	7680	0	256
29mul_mat_vec_q4_1_breit_gfx906ILi5ELi16ELi64	52	36	15360	0	256
29mul_mat_vec_q6_K_breit_gfx906ILi6ELi16ELi4	38	32	6912	0	256
29mul_mat_vec_q6_K_breit_gfx906ILi6ELi16ELi8	43	36	13824	0	256
29mul_mat_vec_q4_1_breit_gfx906ILi6ELi16ELi32	39	32	9216	0	256
29mul_mat_vec_q4_1_breit_gfx906ILi6ELi16ELi64	53	36	18432	0	256
29mul_mat_vec_q6_K_breit_gfx906ILi7ELi16ELi4	39	32	8064	0	256
29mul_mat_vec_q6_K_breit_gfx906ILi7ELi16ELi8	45	36	16128	0	256
29mul_mat_vec_q4_1_breit_gfx906ILi7ELi16ELi32	43	32	10752	0	256
29mul_mat_vec_q4_1_breit_gfx906ILi7ELi16ELi64	54	36	21504	0	256
29mul_mat_vec_q6_K_breit_gfx906ILi8ELi16ELi4	42	32	9216	0	256
29mul_mat_vec_q6_K_breit_gfx906ILi8ELi16ELi8	46	36	18432	0	256
29mul_mat_vec_q4_1_breit_gfx906ILi8ELi16ELi32	42	32	12288	0	256
29mul_mat_vec_q4_1_breit_gfx906ILi8ELi16ELi64	55	36	24576	0	256
23mul_mat_vec_q5_K_gfx906ILb1	87	44	0	0	64
23mul_mat_vec_q5_K_gfx906ILb0	53	30	0	0	64
23mul_mat_vec_q6_K_gfx906ILb1	57	44	0	0	64
23mul_mat_vec_q6_K_gfx906ILb0	42	30	0	0	64
